% Model:              inside_out_baseline_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 10:25
% Table:              Table 1 - Surface Integration 1
% Time (min)             is/(0.1[mol/m^3]*31.42[mm^2]) (mm)
0                        3.174320467942885E-6
20                       1.0009475556744774
40                       1.7952719267506676
60                       2.4820210582207105
80                       3.0788800696772465
100                      3.5995063670256546
120                      4.054870834138933
140                      4.45620134823501
160                      4.810125074042812
180                      5.12316661975229
200                      5.401437497704101
220                      5.649357207383184
240                      5.871273310970874
