% Model:              outside_in_originalconfiguration_baseline_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 10:25
% Table:              Table 62 - Surface Integration 6
% Time (min)             is/(0.1[mol/m^3]*21.36[mm^2]) (mm)
0                        3.863416101615024E-6
20                       0.06626444742311134
40                       0.06626303370110533
60                       0.06626306235387414
80                       0.06626303433623315
100                      0.06626305924014451
120                      0.066263034909537
140                      0.06626304808711854
160                      0.06626304445626983
180                      0.06626304621886425
200                      0.06626304591431927
220                      0.06626304626617137
240                      0.06626304577811526
