% Model:              outside_in_adjustedconfiguration_baseline_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 11:48
% Table:              Table 64 - Surface Integration 6
% Time (min)             is/(0.1[mol/m^3]*198.23[mm^2]) (mm)
0                        4.13283252510584E-6
20                       0.5642014794798745
40                       0.7063677792759476
60                       0.7507039162078429
80                       0.7641712221296861
100                      0.7682737486241669
120                      0.7696377976424826
140                      0.7696783132240086
160                      0.7696870778262962
180                      0.7696884281002182
200                      0.7696883897834683
220                      0.7696882677132738
240                      0.769688201825352
