% Model:              inside_out_baseline_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 26 2026, 12:29
% Table:              Table 13 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        5.491964986662492E-19
20                       2.248197855469641E-12
40                       1.9345767706065483E-12
60                       1.675806813377989E-12
80                       1.456665449650693E-12
100                      1.268962052723144E-12
120                      1.111603969107702E-12
140                      9.773327542886574E-13
160                      8.610171570670535E-13
180                      7.619523435992999E-13
200                      6.785194789028774E-13
220                      6.087918780882331E-13
240                      5.450094115870748E-13
