% Model:              insideout_cocurrentflow_1000mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 3 2026, 18:04
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5830926770007023E-19
20                       3.4512411554204503E-12
40                       3.451307066987425E-12
60                       3.45134664668424E-12
80                       3.4513775182193723E-12
100                      3.4514656304287613E-12
120                      3.451347423239017E-12
140                      3.4513675160457806E-12
160                      3.4513697891601292E-12
180                      3.451361442720335E-12
200                      3.451358867882909E-12
220                      3.4513702675786743E-12
240                      3.4513576076128923E-12
