% Model:              inside_out_countercurrent_240mins_parasweep_Qblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 3 2026, 18:03
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5830926734105113E-19
20                       3.4796174601886573E-12
40                       3.4797333977696562E-12
60                       3.479789865120304E-12
80                       3.4796833004414057E-12
100                      3.479755026848443E-12
120                      3.479715589742272E-12
140                      3.4797218087028006E-12
160                      3.479725745039867E-12
180                      3.479719719307927E-12
200                      3.479721837604796E-12
220                      3.4797262450220877E-12
240                      3.4797150324224225E-12
