% Model:              outside_in_originalconfiguration_baseline_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 25 2026, 21:42
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        4.242681292555784E-20
20                       4.837939348521007E-15
40                       4.7483161289521866E-15
60                       4.747887804062917E-15
80                       4.748374020246576E-15
100                      4.748072910671468E-15
120                      4.748352621796513E-15
140                      4.748165611384966E-15
160                      4.748218615522626E-15
180                      4.748205480337444E-15
200                      4.748214876925917E-15
220                      4.7482121826455195E-15
240                      4.748217227279097E-15
