% Model:              outside_in_originalconfiguration_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 25 2026, 21:48
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.242680042315513E-20
20                       -3.498015635536304E-12
40                       -3.4980034853489776E-12
60                       -3.498000845662715E-12
80                       -3.4979668888490186E-12
100                      -3.4979884808332604E-12
120                      -3.4979994328220363E-12
140                      -3.497993450880221E-12
160                      -3.4979813974923616E-12
180                      -3.497985784853133E-12
200                      -3.4979953096526335E-12
220                      -3.4979979154601662E-12
240                      -3.497982800280674E-12
