% Model:              outside_in_originalconfiguration_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 25 2026, 21:43
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.242681139632068E-20
20                       -3.524535068516694E-12
40                       -3.5245796200964E-12
60                       -3.5245765443453682E-12
80                       -3.5245798672379466E-12
100                      -3.5245864641455797E-12
120                      -3.524569282671518E-12
140                      -3.524561710580782E-12
160                      -3.524579998294646E-12
180                      -3.5245824291134974E-12
200                      -3.524569369671491E-12
220                      -3.5245672877963135E-12
240                      -3.5245803918941916E-12
