% Model:              outside_in_adjustedconfiguration_baseline_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 25 2026, 22:12
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.5982543426376335E-18
20                       -4.030119931653926E-12
40                       -1.207143725378876E-12
60                       -3.2926317216633566E-13
80                       -6.266843846147649E-14
100                      1.853181020191914E-14
120                      4.558688464059035E-14
140                      4.631429742600532E-14
160                      4.648845257679526E-14
180                      4.652345116281132E-14
200                      4.652381702745023E-14
220                      4.6519318943146646E-14
240                      4.6517249130787727E-14
