% Model:              outside_in_adjustedconfiguration_cocurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 25 2026, 22:14
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.5982544517266605E-18
20                       -1.926153237488679E-11
40                       -1.9261597986697283E-11
60                       -1.9261802152831996E-11
80                       -1.926160527656312E-11
100                      -1.9261397648034183E-11
120                      -1.9261399840698844E-11
140                      -1.926147803341488E-11
160                      -1.9261500175318158E-11
180                      -1.926145172327669E-11
200                      -1.9261397493403405E-11
220                      -1.9261436658483374E-11
240                      -1.926150030595641E-11
