% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 25 2026, 22:13
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.598254393944323E-18
20                       -1.9377346139893174E-11
40                       -1.9377442408268558E-11
60                       -1.937747272909441E-11
80                       -1.937743660945313E-11
100                      -1.9377393848449083E-11
120                      -1.9377408994512354E-11
140                      -1.9377441468442405E-11
160                      -1.9377448026653076E-11
180                      -1.937741809358686E-11
200                      -1.9377404574096467E-11
220                      -1.9377417102620883E-11
240                      -1.9377421547932593E-11
