% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 13:00
% Table:              Table 12 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        1.6141760626230076E-23
0.5                      3.464190189924866E-12
1                        3.1761423551253035E-12
1.5                      3.0737133475532888E-12
2                        2.9982892270689824E-12
2.5                      2.9327077990971827E-12
3                        2.8756500836421377E-12
3.5                      2.8257277746699204E-12
4                        2.7816342058978326E-12
4.5                      2.742467011342094E-12
5                        2.707264972447094E-12
5.5                      2.6752876071102642E-12
6                        2.646014873609975E-12
6.5                      2.6190673519051995E-12
7                        2.594145079088549E-12
7.5                      2.570997469745285E-12
8                        2.549410575698271E-12
8.5                      2.529164471883518E-12
9                        2.510135930182095E-12
9.5                      2.4921989222539894E-12
10                       2.4752374189657768E-12
