% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:47
% Table:              Table 13 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -9.265409545921895E-26
0.5                      3.450452109969334E-12
1                        3.3909720225154528E-12
1.5                      3.2508772402476177E-12
2                        3.1335563610915523E-12
2.5                      3.0391482954679795E-12
3                        2.9618374693400582E-12
3.5                      2.8970829922481574E-12
4                        2.8417100291673186E-12
4.5                      2.793857810386781E-12
5                        2.751697360771314E-12
5.5                      2.7139463374734705E-12
6                        2.679789470108789E-12
6.5                      2.648673120610622E-12
7                        2.6201709846469243E-12
7.5                      2.5939306296349418E-12
8                        2.5696534602518536E-12
8.5                      2.5470394683265505E-12
9                        2.5259257702553723E-12
9.5                      2.5061470901425227E-12
10                       2.4875533904856403E-12
