% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:41
% Table:              Table 11 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.093151326313552E-10
0.5                      3.4940928618330066E-12
1                        3.22720676111799E-12
1.5                      3.1131761723368214E-12
2                        3.026549676088248E-12
2.5                      2.9529894261204997E-12
3                        2.8902189038687354E-12
3.5                      2.8360835833804897E-12
4                        2.788777430039945E-12
4.5                      2.7471305804719764E-12
5                        2.709938449201828E-12
5.5                      2.6763084448919637E-12
6                        2.645637094451653E-12
6.5                      2.6174953081392482E-12
7                        2.59154722253096E-12
7.5                      2.5675130944475958E-12
8                        2.545155043115449E-12
8.5                      2.5242303147508E-12
9                        2.5046043215617787E-12
9.5                      2.486139854487836E-12
10                       2.4687111156194242E-12
