% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 09:44
% Table:              Table 13 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -8.999024917499128E-26
0.5                      3.4500296539589064E-12
1                        3.390565771450447E-12
1.5                      3.250475016283313E-12
2                        3.1331560346086428E-12
2.5                      3.0387499626582715E-12
3                        2.9614412950446254E-12
3.5                      2.896688880008663E-12
4                        2.841317861546704E-12
4.5                      2.7934675285499167E-12
5                        2.751308799377108E-12
5.5                      2.7135594248213113E-12
6                        2.679404130109968E-12
6.5                      2.648289188708616E-12
7                        2.619788492294446E-12
7.5                      2.593549420656771E-12
8                        2.5692734977840437E-12
8.5                      2.5466607185233046E-12
9                        2.525548140189844E-12
9.5                      2.5057705576090705E-12
10                       2.4871778880543636E-12
