% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 09:45
% Table:              Table 12 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        1.6130498030445988E-23
0.5                      3.4557905256095756E-12
1                        3.1679214486479876E-12
1.5                      3.065424747177007E-12
2                        2.9899471309999555E-12
2.5                      2.9243385495070714E-12
3                        2.867270907049008E-12
3.5                      2.81734916231441E-12
4                        2.7732624528874064E-12
4.5                      2.7341062753682083E-12
5                        2.6989175057300527E-12
5.5                      2.6669545661554657E-12
6                        2.6376968722151157E-12
6.5                      2.610764719849172E-12
7                        2.585857983876754E-12
7.5                      2.5627259222404124E-12
8                        2.5411544915650928E-12
8.5                      2.520923671016987E-12
9                        2.501910197167479E-12
9.5                      2.4839880190988865E-12
10                       2.467041084057404E-12
