% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 09:44
% Table:              Table 11 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.093177579831765E-10
0.5                      3.493509340964876E-12
1                        3.2266323157409333E-12
1.5                      3.1125956671455766E-12
2                        3.0259646137998255E-12
2.5                      2.9524018298810293E-12
3                        2.8896301183595275E-12
3.5                      2.8354944455183793E-12
4                        2.7881884547601607E-12
4.5                      2.7465421188082463E-12
5                        2.709350699933658E-12
5.5                      2.6757215207425126E-12
6                        2.645051062692893E-12
6.5                      2.6169102103364652E-12
7                        2.5909630888830967E-12
7.5                      2.566929938313288E-12
8                        2.5445728712313304E-12
8.5                      2.5236491240952837E-12
9                        2.504024105085315E-12
9.5                      2.4855606033834935E-12
10                       2.4681328176072166E-12
