% Model:              inside_out_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 17:36
% Table:              Table 11 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        8.184962531143289E-13
20                       8.491878000625466E-12
40                       8.491886844349818E-12
60                       8.49188917891442E-12
80                       8.491896656786547E-12
100                      8.491908314745016E-12
120                      8.491900138509525E-12
140                      8.491892451039002E-12
160                      8.491896708665836E-12
180                      8.49189907296549E-12
200                      8.491901726802943E-12
220                      8.491899405331653E-12
240                      8.491894425812432E-12
