% Model:              inside_out_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 17:40
% Table:              Table 11 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        7.905706145759164E-13
20                       3.481405354735461E-12
40                       3.4814321119463097E-12
60                       3.481448015776225E-12
80                       3.4814188967277237E-12
100                      3.48142331977218E-12
120                      3.4814290969370277E-12
140                      3.4814159155659215E-12
160                      3.4814240524286603E-12
180                      3.4814190883282612E-12
200                      3.4814180326962786E-12
220                      3.481423636098308E-12
240                      3.481427051758053E-12
