% Model:              inside_out_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 8 2026, 18:57
% Table:              Table 11 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        7.905706145759158E-13
20                       3.481410040754463E-12
40                       3.481417439006782E-12
60                       3.4814524071251105E-12
80                       3.4814221865389102E-12
100                      3.481417756404965E-12
120                      3.4814281317973375E-12
140                      3.4814174150127E-12
160                      3.4814250464738276E-12
180                      3.4814181770672383E-12
200                      3.481413376044114E-12
220                      3.4814279764304155E-12
240                      3.4814272326065833E-12
