% Model:              inside_out_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 8 2026, 18:49
% Table:              Table 11 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        7.905980571118113E-13
20                       3.4852036669037713E-12
40                       3.4852978720930887E-12
60                       3.4853555256988176E-12
80                       3.485255236138153E-12
100                      3.485319956681555E-12
120                      3.4852848469804816E-12
140                      3.485289597064839E-12
160                      3.485293547433535E-12
180                      3.4852878632634004E-12
200                      3.485289557620445E-12
220                      3.485293933709578E-12
240                      3.4852833436506276E-12
