% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 17:34
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.86763976913531E-13
20                       -5.991481677108729E-12
40                       -5.99148093480011E-12
60                       -5.99149081339893E-12
80                       -5.991492015469921E-12
100                      -5.991480750363591E-12
120                      -5.991485747366559E-12
140                      -5.9914900516746974E-12
160                      -5.9914811848363566E-12
180                      -5.991482021810523E-12
200                      -5.9914895519933006E-12
220                      -5.9914866487147815E-12
240                      -5.991480596451885E-12
