% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 17:38
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.698969310903446E-13
20                       -3.524788554121446E-12
40                       -3.524845316337116E-12
60                       -3.5248399998227836E-12
80                       -3.5248436950796897E-12
100                      -3.524850496995966E-12
120                      -3.5248321606718017E-12
140                      -3.524824945056192E-12
160                      -3.5248444759952913E-12
180                      -3.5248463138241148E-12
200                      -3.524832491158134E-12
220                      -3.5248307812235555E-12
240                      -3.524844697342875E-12
