% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 8 2026, 18:58
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.69896931090345E-13
20                       -3.5247885541122165E-12
40                       -3.524845316353195E-12
60                       -3.5248399998214822E-12
80                       -3.5248436950635564E-12
100                      -3.524850496992433E-12
120                      -3.5248321606833967E-12
140                      -3.5248249450557718E-12
160                      -3.5248444759941636E-12
180                      -3.5248463138217976E-12
200                      -3.5248324911484516E-12
220                      -3.5248307812352298E-12
240                      -3.524844697331521E-12
