% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 8 2026, 18:54
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.699134938845751E-13
20                       -3.5266740990034355E-12
40                       -3.526731004272155E-12
60                       -3.5267256937193854E-12
80                       -3.5267293762160988E-12
100                      -3.526736101111871E-12
120                      -3.5267177417017213E-12
140                      -3.526710612118842E-12
160                      -3.5267302134187953E-12
180                      -3.526731909068906E-12
200                      -3.5267180135051886E-12
220                      -3.526716465514915E-12
240                      -3.5267303722869684E-12
