% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 14:19
% Table:              Table 61 - Line Integration 5
% Time (min)             Normal total flux (mol/s)
0                        -4.8245847658299625E-12
20                       -3.976033916172073E-11
40                       -3.976096965032702E-11
60                       -3.9760639028012136E-11
80                       -3.9760679999527355E-11
100                      -3.9761381319318596E-11
120                      -3.976004691779815E-11
140                      -3.976125936605283E-11
160                      -3.976018598038237E-11
180                      -3.9760989689166654E-11
200                      -3.9760617000898675E-11
220                      -3.976060508554168E-11
240                      -3.97608574526255E-11
