% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 14:20
% Table:              Table 61 - Line Integration 5
% Time (min)             Normal total flux (mol/s)
0                        -4.657417787932369E-12
20                       -1.9400852606924642E-11
40                       -1.940086283573147E-11
60                       -1.9400990414183926E-11
80                       -1.940100279636701E-11
100                      -1.9400914045253348E-11
120                      -1.9400800146051722E-11
140                      -1.940081528972196E-11
160                      -1.9400858869649325E-11
180                      -1.9400848680111477E-11
200                      -1.940079105060539E-11
220                      -1.9400759417769295E-11
240                      -1.940079871760743E-11
