% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 8 2026, 18:56
% Table:              Table 63 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -4.6574177879323676E-12
20                       -1.9400852606421842E-11
40                       -1.940086283556864E-11
60                       -1.9400990414126748E-11
80                       -1.9401002796338216E-11
100                      -1.9400914045271818E-11
120                      -1.940080014630049E-11
140                      -1.9400815289765454E-11
160                      -1.940085886944493E-11
180                      -1.94008486799889E-11
200                      -1.9400791050620497E-11
220                      -1.940075941771879E-11
240                      -1.9400798717580688E-11
