% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 8 2026, 18:50
% Table:              Table 63 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -4.6575819325525386E-12
20                       -1.941838478270337E-11
40                       -1.941843038331094E-11
60                       -1.941846281249256E-11
80                       -1.9418433971123138E-11
100                      -1.9418393369816256E-11
120                      -1.9418403485320215E-11
140                      -1.9418433066965757E-11
160                      -1.941844150757987E-11
180                      -1.9418415327110045E-11
200                      -1.9418401285319745E-11
220                      -1.9418411244505658E-11
240                      -1.9418415777444416E-11
