% Model:              inside_out_multifibre_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 10:39
% Table:              Table 7 - Surface Integration 5
% Time (min)             Normal total flux (mol/s)
0                        -2.5363019949058185E-14
20                       3.5265779990648167E-12
40                       3.526745470066456E-12
60                       3.526673253259215E-12
80                       3.526527609506771E-12
100                      3.526510515421947E-12
120                      3.5265712639680302E-12
140                      3.5265631582422616E-12
160                      3.5264696944784788E-12
180                      3.5264981433842823E-12
200                      3.5265085481708557E-12
220                      3.52648921111135E-12
240                      3.5264653050923675E-12
