% Model:              outside_in_multifibre_countercurrent_240mins_official.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 11:15
% Table:              Table 5 - Surface Integration 3
% Time (min)             Normal total flux (mol/s)
0                        1.594175946890322E-13
20                       1.4778372533086826E-12
40                       1.4764767804465497E-12
60                       1.4796516326286938E-12
80                       1.4850581785164941E-12
100                      1.4878600967578904E-12
120                      1.4890470881908854E-12
140                      1.4895286301145117E-12
160                      1.4885589431908474E-12
180                      1.4876926318208586E-12
200                      1.487457065932482E-12
220                      1.4873228861132202E-12
240                      1.4873115433720483E-12
