% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 19:57
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5830926734105123E-19
20                       3.4796773407517795E-12
40                       3.4796729301238176E-12
60                       3.479755345689252E-12
80                       3.479710558073107E-12
100                      3.4797699089677903E-12
120                      3.4797483057311954E-12
140                      3.4797058876527012E-12
160                      3.479726705561881E-12
180                      3.479719752091325E-12
200                      3.479717023744297E-12
220                      3.4797234665859196E-12
240                      3.4797280550202438E-12
