% Model:              inside_out_countercurrent_240mins_parasweep_Qblood 1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 28 2026, 09:20
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5830926503586913E-19
20                       3.479613363567696E-12
40                       3.4797342458084725E-12
60                       3.4797817618069314E-12
80                       3.4796874761139686E-12
100                      3.4797491729595073E-12
120                      3.4797175743804383E-12
140                      3.4797242357789777E-12
160                      3.47972448351152E-12
180                      3.4797189093075116E-12
200                      3.4797207301472704E-12
220                      3.4797279322271547E-12
240                      3.4797157272005803E-12
