% Model:              inside_out_countercurrent_240mins_parasweep_Qdial.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 18:41
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5849135647188745E-19
20                       3.5516804696381275E-14
40                       3.5509937696598937E-14
60                       3.550961517111039E-14
80                       3.5509168086536227E-14
100                      3.5509488628570455E-14
120                      3.5509795708772853E-14
140                      3.550971368813345E-14
160                      3.550957429274565E-14
180                      3.550956731857519E-14
200                      3.5509626931316275E-14
220                      3.550951917609671E-14
240                      3.5509522279374726E-14
