% Model:              inside_out_countercurrent_240mins_parasweep_Qdial 2.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 28 2026, 10:12
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5830926734105176E-19
20                       3.479611537247164E-12
40                       3.4797222171114557E-12
60                       3.4797857670297255E-12
80                       3.479698356562602E-12
100                      3.4797527529021292E-12
120                      3.479718501644632E-12
140                      3.4797240329361384E-12
160                      3.4797159528914237E-12
180                      3.4797170781010112E-12
200                      3.479727959388781E-12
220                      3.479722239265514E-12
240                      3.4797155162942786E-12
