% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:43
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.583101684870344E-19
20                       3.481422076497549E-12
40                       3.481430241993081E-12
60                       3.4814473721774646E-12
80                       3.4814125810838E-12
100                      3.4814266385429796E-12
120                      3.4814295141410397E-12
140                      3.4814129911284923E-12
160                      3.4814264813964795E-12
180                      3.4814171510101288E-12
200                      3.4814121192862324E-12
220                      3.4814249926668156E-12
240                      3.4814229759071195E-12
