% Model:              inside_out_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:19
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5830926734105113E-19
20                       3.4796124385321467E-12
40                       3.4797283209051587E-12
60                       3.479785041498793E-12
80                       3.479688467740238E-12
100                      3.4797507134543657E-12
120                      3.4797165117655598E-12
140                      3.4797246767657575E-12
160                      3.479723073281342E-12
180                      3.479717862418757E-12
200                      3.479722588759793E-12
220                      3.4797264811473573E-12
240                      3.4797169795354397E-12
