% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 2 2026, 09:34
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        3.1820148021829074E-20
20                       -2.6433857452902586E-12
40                       -2.643406702615401E-12
60                       -2.6434268920872226E-12
80                       -2.643416239628372E-12
100                      -2.6434017137155985E-12
120                      -2.6434060280759E-12
140                      -2.643418346107457E-12
160                      -2.643413396684785E-12
180                      -2.643403581566585E-12
200                      -2.6434088061725135E-12
220                      -2.643416143690385E-12
240                      -2.6434150998653146E-12
