% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:33
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.24268046994613E-20
20                       -3.572741992863884E-12
40                       -3.5727883035220607E-12
60                       -3.572784597042878E-12
80                       -3.572786801808884E-12
100                      -3.572793846905221E-12
120                      -3.5727772421887797E-12
140                      -3.572768929329251E-12
160                      -3.572787335743164E-12
180                      -3.572790565671365E-12
200                      -3.5727763583605454E-12
220                      -3.5727746833547304E-12
240                      -3.572788181639043E-12
