% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepQdial.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:40
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.242680376603789E-20
20                       -4.5511098535478654E-14
40                       -4.5598205811026436E-14
60                       -4.559850312385694E-14
80                       -4.559802667550114E-14
100                      -4.559836724981293E-14
120                      -4.559807263666605E-14
140                      -4.5598340710649965E-14
160                      -4.5598098359474736E-14
180                      -4.559831331422507E-14
200                      -4.559811837209104E-14
220                      -4.55982940086932E-14
240                      -4.559812592498698E-14
