% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:44
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.2426801752944893E-20
20                       -3.4694190947711444E-12
40                       -3.469415433726366E-12
60                       -3.4694230718767645E-12
80                       -3.4694054883708726E-12
100                      -3.469412028683116E-12
120                      -3.4694213142485503E-12
140                      -3.4694177079574374E-12
160                      -3.469418870952936E-12
180                      -3.4694158714760446E-12
200                      -3.4694146031366577E-12
220                      -3.4694140435687933E-12
240                      -3.4694154646564394E-12
