% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:21
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.242651606232824E-20
20                       -3.5247986430184516E-12
40                       -3.524842968430772E-12
60                       -3.5248398872580744E-12
80                       -3.5248432208315017E-12
100                      -3.524849878153388E-12
120                      -3.5248327594249258E-12
140                      -3.524825122642656E-12
160                      -3.524843298630988E-12
180                      -3.5248458578590255E-12
200                      -3.5248329018985294E-12
220                      -3.5248306726714482E-12
240                      -3.5248437510866014E-12
