% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:21
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.2429391206631625E-20
20                       -3.5221608571725454E-12
40                       -3.5221986721560514E-12
60                       -3.522198057493622E-12
80                       -3.5222020986564346E-12
100                      -3.5222056541499386E-12
120                      -3.5221888270151466E-12
140                      -3.5221824692068483E-12
160                      -3.5222002308891396E-12
180                      -3.5222022617459107E-12
200                      -3.5221888011056837E-12
220                      -3.5221876616134755E-12
240                      -3.5222009730679127E-12
