% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepQdial.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:43
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.5982543939443333E-18
20                       -1.493107635054873E-11
40                       -1.4931883008659946E-11
60                       -1.4931807261811207E-11
80                       -1.4931650018413092E-11
100                      -1.4931627328972437E-11
120                      -1.493167234035863E-11
140                      -1.4931700202561355E-11
160                      -1.4931680090793765E-11
180                      -1.493167049520163E-11
200                      -1.4931660689358815E-11
220                      -1.493167405122058E-11
240                      -1.493169115478914E-11
