% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:22
% Table:              Table 61 - Line Integration 5
% Time (min)             Normal total flux (mol/s)
0                        -2.5982595826621974E-18
20                       -1.9400873177308606E-11
40                       -1.940086225587728E-11
60                       -1.9400995568195544E-11
80                       -1.9401002129573286E-11
100                      -1.9400903370054482E-11
120                      -1.9400785819059246E-11
140                      -1.9400812985892987E-11
160                      -1.9400861521147743E-11
180                      -1.9400846417037914E-11
200                      -1.940078318641888E-11
220                      -1.9400753265669155E-11
240                      -1.9400799866292802E-11
