% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 19:52
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.598254393944322E-18
20                       -1.9377346140543632E-11
40                       -1.937744240783507E-11
60                       -1.93774727291388E-11
80                       -1.9377436609491757E-11
100                      -1.9377393848669284E-11
120                      -1.937740899471177E-11
140                      -1.937744146781001E-11
160                      -1.9377448026745084E-11
180                      -1.9377418094056682E-11
200                      -1.9377404574212347E-11
220                      -1.9377417102328E-11
240                      -1.937742154750186E-11
