% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:31
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.5984592027027023E-18
20                       -1.9437565397709033E-11
40                       -1.9437771168958192E-11
60                       -1.9437625070251495E-11
80                       -1.943745951456078E-11
100                      -1.943749629079461E-11
120                      -1.9437607093797788E-11
140                      -1.9437609880086334E-11
160                      -1.9437571153204082E-11
180                      -1.94375536437879E-11
200                      -1.9437538691442155E-11
220                      -1.943755188348879E-11
240                      -1.9437593994777524E-11
