% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:41
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.5982543939456506E-18
20                       -2.145539312872651E-11
40                       -2.1454695341030934E-11
60                       -2.1454740653072788E-11
80                       -2.145482139061988E-11
100                      -2.145491799915595E-11
120                      -2.145484834274524E-11
140                      -2.1454785992875633E-11
160                      -2.1454799948022574E-11
180                      -2.1454815973307146E-11
200                      -2.1454798045475067E-11
220                      -2.1454788596845452E-11
240                      -2.1454798191598257E-11
