% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:08
% Table:              Table 16 - Line Integration 2
% Time                   Normal total flux (mol/s)
0                        -2.5982594812283175E-18
1200                     -1.939853937293108E-11
2400                     -1.9398527626538806E-11
3600                     -1.939866098504994E-11
4800                     -1.9398667368072653E-11
6000                     -1.9398567962327677E-11
7200                     -1.939845021787513E-11
8400                     -1.9398478031577393E-11
9600                     -1.9398526703666748E-11
10800                    -1.939851162179896E-11
12000                    -1.9398448535300842E-11
13200                    -1.9398418648505716E-11
14400                    -1.9398464496495117E-11
