% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:09
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.598206873486776E-18
20                       -1.9166582051849992E-11
40                       -1.916661413987565E-11
60                       -1.9166729249449273E-11
80                       -1.916672943022201E-11
100                      -1.9166641984067952E-11
120                      -1.91665268224175E-11
140                      -1.9166551774060408E-11
160                      -1.9166605051279096E-11
180                      -1.9166586621124975E-11
200                      -1.9166519099421E-11
220                      -1.916649423347642E-11
240                      -1.916654445636427E-11
