% Model:              inside_out_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 17:36
% Table:              Table 11 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        3.5739942044805765E-19
20                       1.2625070071820701E-12
40                       1.2625564914147454E-12
60                       1.2625761219366946E-12
80                       1.2625892801036688E-12
100                      1.2626059177268883E-12
120                      1.2625945437868695E-12
140                      1.2625833378929263E-12
160                      1.2625868568846468E-12
180                      1.262592017368011E-12
200                      1.2625958922114062E-12
220                      1.2625921014763556E-12
240                      1.2625865481038417E-12
