% Model:              inside_out_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 17:51
% Table:              Table 11 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        8.184962531143288E-13
20                       8.491866359503749E-12
40                       8.491885447857012E-12
60                       8.49189212521922E-12
80                       8.491895852053743E-12
100                      8.491908350157254E-12
120                      8.49190009923464E-12
140                      8.491892557199132E-12
160                      8.491896958468044E-12
180                      8.491898533242058E-12
200                      8.491901824295854E-12
220                      8.491899672509884E-12
240                      8.491894252366699E-12
