% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:55
% Table:              Table 12 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        7.905706420179738E-13
20                       3.481412716292333E-12
40                       3.481424690265496E-12
60                       3.4814569395096905E-12
80                       3.481428238521999E-12
100                      3.481424171553628E-12
120                      3.481430336254121E-12
140                      3.481422896589923E-12
160                      3.4814314354515224E-12
180                      3.4814196082277677E-12
200                      3.481417631992416E-12
220                      3.4814342471548352E-12
240                      3.481430125081847E-12
