% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 17:35
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.2718413017233745E-20
20                       -3.180616515694055E-12
40                       -3.1806428100547455E-12
60                       -3.1806062564778594E-12
80                       -3.18060946874837E-12
100                      -3.180647674004766E-12
120                      -3.1806362259400483E-12
140                      -3.180607333732452E-12
160                      -3.18063136547687E-12
180                      -3.1806455956874883E-12
200                      -3.180618151704181E-12
220                      -3.1806150296984547E-12
240                      -3.1806411770706947E-12
