% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 17:50
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.867639769135311E-13
20                       -5.991481677141791E-12
40                       -5.991480934773472E-12
60                       -5.9914908134066926E-12
80                       -5.991492015516468E-12
100                      -5.991480750342032E-12
120                      -5.9914857473671115E-12
140                      -5.991490051680415E-12
160                      -5.9914811848353646E-12
180                      -5.99148202180792E-12
200                      -5.991489551994135E-12
220                      -5.99148664872537E-12
240                      -5.991480596447717E-12
