% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:25
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.715561915784515E-13
20                       -3.71894570914363E-12
40                       -3.71893137417389E-12
60                       -3.71894950585592E-12
80                       -3.718939715668492E-12
100                      -3.718936126555624E-12
120                      -3.71893133155622E-12
140                      -3.71894363674303E-12
160                      -3.718944876574446E-12
180                      -3.718929030879242E-12
200                      -3.7189354567736565E-12
220                      -3.718946860993906E-12
240                      -3.718945072992196E-12
