% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 17:37
% Table:              Table 61 - Line Integration 5
% Time (min)             Normal total flux (mol/s)
0                        -2.592957350183513E-18
20                       7.477776536798264E-12
40                       7.477198349805803E-12
60                       7.477505691377105E-12
80                       7.477464277078983E-12
100                      7.476644984955741E-12
120                      7.478112643135528E-12
140                      7.476859986657237E-12
160                      7.477972979135158E-12
180                      7.47714036988042E-12
200                      7.47751098224005E-12
220                      7.477227371059626E-12
240                      7.477618126534231E-12
