% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 20 2026, 17:50
% Table:              Table 61 - Line Integration 5
% Time (min)             Normal total flux (mol/s)
0                        -4.824584765829968E-12
20                       -3.9760339216673895E-11
40                       -3.9760969617234416E-11
60                       -3.9760639000922436E-11
80                       -3.976068023108492E-11
100                      -3.9761363083523805E-11
120                      -3.976005202041891E-11
140                      -3.9761254019024036E-11
160                      -3.9760189329602684E-11
180                      -3.976098708191796E-11
200                      -3.976062096984968E-11
220                      -3.9760891108427246E-11
240                      -3.976053187963356E-11
