% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:23
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -4.657581932552539E-12
20                       -1.941838478269702E-11
40                       -1.941843038369719E-11
60                       -1.9418462812474915E-11
80                       -1.9418433971086402E-11
100                      -1.9418393369647563E-11
120                      -1.9418403485107226E-11
140                      -1.9418433067518924E-11
160                      -1.941844150746187E-11
180                      -1.9418415326676758E-11
200                      -1.941840128516825E-11
220                      -1.9418411244742878E-11
240                      -1.9418415777943215E-11
