% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:05
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -3.2312689604148955E-18
20                       -1.9376882237570458E-11
40                       -1.9376852077497156E-11
60                       -1.9377085400082352E-11
80                       -1.9377070867050886E-11
100                      -1.937688106000508E-11
120                      -1.937677564875515E-11
140                      -1.937681277348417E-11
160                      -1.937687843910417E-11
180                      -1.9376889425030013E-11
200                      -1.9376811805305724E-11
220                      -1.937677382341819E-11
240                      -1.9376817341780776E-11
