% Model:              inside_out_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 30 2026, 22:04
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.8360136583620454E-19
20                       3.480077393975331E-12
40                       3.4798094546638365E-12
60                       3.479943026385481E-12
80                       3.4798709758861862E-12
100                      3.479920835040135E-12
120                      3.4799559018093446E-12
140                      3.479901407794299E-12
160                      3.479939709031579E-12
180                      3.4799248922823584E-12
200                      3.4799007610863643E-12
220                      3.4799303302104796E-12
240                      3.4799324307497864E-12
