% Model:              outside_in_originalconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:00
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.041278932270181E-19
20                       -3.5220209585591376E-12
40                       -3.5219873868535278E-12
60                       -3.521942093468809E-12
80                       -3.5219479976663438E-12
100                      -3.5219679886670148E-12
120                      -3.5219577704548594E-12
140                      -3.521955392583781E-12
160                      -3.521953210518676E-12
180                      -3.5219665706059005E-12
200                      -3.5219578853020354E-12
220                      -3.521947705046908E-12
240                      -3.5219544433838053E-12
