% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:13
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -4.06825619450047E-12
20                       -1.941934144833951E-11
40                       -1.941928838251451E-11
60                       -1.9419490290621933E-11
80                       -1.9419502396537312E-11
100                      -1.9419336790606716E-11
120                      -1.9419227762901663E-11
140                      -1.941924968094546E-11
160                      -1.9419309541210844E-11
180                      -1.9419325082968623E-11
200                      -1.9419256558744577E-11
220                      -1.9419217055890467E-11
240                      -1.9419252625177463E-11
